Combo,Count
after,44
and,755
fields,3
gods,2
in,393
most,29
named,3
of,524
oil,3
pagan,1
platforms,1
the,1269
thereafter,1
were,73
years,23
brown,2
love,23
mr,6
we,172
you,196
a,624
all,100
almost,8
also,32
as,143
awesome,4
bad,13
bank,1
been,49
birthday,8
busy,11
by,92
card,6
cashed,1
chad,1
characters,6
count,3
cute,6
did,34
does,10
down,23
either,9
enough,15
feel,18
fort,2
from,92
game,3
get,52
gift,6
good,40
had,75
has,61
have,149
he,113
her,81
him,32
his,71
holding,2
how,60
i,890
into,44
is,254
it,266
job,10
kids,14
know,45
kyan,1
later,12
letting,2
like,82
lola,1
loves,1
made,31
make,35
money,13
much,39
never,18
on,217
out,83
piggy,1
playing,6
reaction,2
realized,4
saving,1
she,77
skylander,1
so,118
sure,16
switch,3
taps,1
than,34
that,340
thing,13
to,760
together,5
too,44
used,14
usual,5
very,41
wanted,14
was,200
watch,6
when,49
while,31
with,234
work,30
xbox,2
am,31
amazing,5
anyways,1
away,22
come,19
decor,1
folder,1
going,21
home,17
images,7
inspiration,2
life,27
my,185
our,60
puter,1
ready,4
share,5
some,62
stored,1
storing,1
these,26
any,22
around,27
black,12
brings,2
but,141
can,77
cards,4
cardstock,3
change,4
circle,4
corner,6
created,3
cut,6
die,5
do,53
double,3
easy,5
embossed,1
embossing,1
fantastic,2
fun,21
gifts,3
gives,3
graduation,2
help,10
impressions,2
just,83
kit,1
kraft,2
machine,3
memento,1
nancy,1
need,21
nestabilities,1
new,39
not,104
occasion,1
one,77
ones,5
only,39
pad,3
pass,4
patterns,4
plate,1
plates,1
red,5
right,30
season,7
see,30
set,7
sided,1
stamped,1
stars,3
super,5
taylor,1
them,45
this,164
through,17
tutorial,1
tuxedo,1
up,88
use,10
using,11
which,43
whipped,1
yes,6
your,74
alternative,1
an,75
argument,1
hear,8
if,62
lets,7
bear,1
about,82
again,16
because,35
brusquely,1
coming,10
ever,11
foot,3
friends,13
guess,5
halfdozen,1
keep,15
keeping,3
laurelwood,1
many,28
mine,4
names,1
often,10
other,45
others,5
refuse,3
same,19
similar,2
staff,2
step,4
stories,4
telling,3
there,99
they,89
treated,4
afforded,1
although,6
