"","Combo","Count"
"1","after pagan",1
"2","and platforms",1
"3","fields and",1
"4","in the",22
"5","most of",2
"6","named after",1
"7","of the",12
"8","oil fields",1
"9","pagan gods",1
"10","platforms were",1
"11","the oil",1
"12","the years",1
"13","thereafter most",1
"14","were named",1
"15","years thereafter",1
"16","love you",1
"17","mr brown",1
"18","we love",1
"19","you mr",1
"20","a very",3
"21","after kyan",1
"22","all of",3
"23","almost as",1
"24","also does",1
"25","and holding",1
"26","and the",5
"27","and used",1
"28","as him",1
"29","as much",1
"30","awesome with",1
"31","bad and",1
"32","bad we",1
"33","bank he",1
"34","been awesome",1
"35","been busy",1
"36","been saving",1
"37","birthday he",1
"38","busy together",1
"39","by letting",1
"40","card from",1
"41","cashed in",1
"42","chad has",1
"43","characters she",1
"44","count all",1
"45","cute to",1
"46","did he",1
"47","does a",1
"48","down the",2
"49","either that",1
"50","enough it",1
"51","feel like",2
"52","fort while",1
"53","from his",2
"54","game so",1
"55","get it",1
"56","gift card",1
"57","good job",1
"58","had enough",1
"59","has been",3
"60","have been",2
"61","he also",1
"62","he did",2
"63","he had",1
"64","he has",3
"65","he never",1
"66","he realized",1
"67","he wanted",2
"68","her switch",1
"69","him count",1
"70","his birthday",1
"71","his gift",1
"72","his i",1
"73","his money",1
"74","his piggy",1
"75","his reaction",1
"76","holding down",1
"77","how we",1
"78","i from",1
"79","i work",1
"80","in his",1
"81","into that",1
"82","is how",1
"83","is playing",1
"84","it almost",1
"85","it he",1
"86","it so",1
"87","it was",3
"88","job of",1
"89","kids and",1
"90","kids have",1
"91","know he",1
"92","kyan cashed",1
"93","later than",1
"94","letting her",1
"95","letting lola",1
"96","like she",1
"97","lola feel",1
"98","loves it",1
"99","made him",1
"100","make sure",1
"101","money to",2
"102","much as",1
"103","never taps",1
"104","of his",1
"105","of letting",1
"106","on the",11
"107","out the",2
"108","piggy bank",1
"109","playing skylander",1
"110","playing too",1
"111","reaction when",1
"112","realized he",1
"113","saving and",1
"114","she is",1
"115","she loves",1
"116","skylander on",1
"117","so bad",2
"118","sure that",1
"119","switch out",1
"120","taps into",1
"121","than usual",1
"122","that game",1
"123","that he",2
"124","that is",2
"125","that thing",1
"126","the characters",1
"127","the fort",1
"128","the kids",2
"129","the money",1
"130","the xbox",1
"131","thing either",1
"132","to get",3
"133","to make",3
"134","to watch",2
"135","together after",1
"136","together playing",1
"137","too by",1
"138","used his",1
"139","usual the",1
"140","very cute",1
"141","very good",1
"142","wanted it",1
"143","wanted that",1
"144","was very",1
"145","watch his",1
"146","we know",3
"147","we made",1
"148","when he",1
"149","while i",2
"150","with the",7
"151","work later",1
"152","xbox together",1
"153","all these",1
"154","am going",1
"155","amazing images",1
"156","anyways i",1
"157","away ready",1
"158","been storing",1
"159","come to",3
"160","decor inspiration",1
"161","folder on",1
"162","get our",1
"163","going to",3
"164","have all",1
"165","home decor",1
"166","i am",7
"167","i have",9
"168","images stored",1
"169","in my",1
"170","inspiration that",1
"171","life when",1
"172","my folder",1
"173","our home",2
"174","puter i",1
"175","ready to",1
"176","share some",1
"177","so anyways",1
"178","some home",1
"179","stored away",1
"180","storing in",1
"181","that i",7
"182","the puter",1
"183","these amazing",1
"184","to come",2
"185","to life",1
"186","to share",2
"187","we get",1
"188","when we",1
"189","a change",1
"190","a fun",1
"191","all you",1
"192","and cut",1
"193","and gifts",1
"194","and gives",1
"195","and red",1
"196","any occasion",1
"197","around the",2
"198","black and",1
"199","brings on",1
"200","but any",1
"201","can see",1
"202","cards and",1
"203","cardstock with",1
"204","change in",1
"205","circle nestabilities",1
"206","corner nancy",1
"207","created just",1
"208","cut machine",1
"209","cut them",1
"210","die cut",1
"211","do i",1
"212","double sided",1
"213","embossed the",1
"214","embossing pad",1
"215","fantastic patterns",1
"216","fun set",1
"217","gifts but",1
"218","gives you",1
"219","graduation cards",1
"220","graduation season",1
"221","has whipped",1
"222","help you",1
"223","how to",2
"224","i embossed",1
"225","i fantastic",1
"226","i stamped",1
"227","i super",1
"228","images in",1
"229","impressions plate",1
"230","impressions plates",1
"231","in memento",1
"232","in ones",1
"233","in this",2
"234","is all",1
"235","is double",1
"236","just one",1
"237","kit is",1
"238","kraft and",1
"239","life i",1
"240","machine using",1
"241","memento tuxedo",1
"242","nancy has",1
"243","need to",3
"244","nestabilities i",1
"245","new stars",1
"246","not only",1
"247","occasion that",1
"248","on a",5
"249","one pass",1
"250","ones life",1
"251","only your",1
"252","out with",3
"253","pad kit",1
"254","pass through",1
"255","patterns you",1
"256","plate which",1
"257","plates in",1
"258","red cardstock",1
"259","right around",1
"260","season right",1
"261","see how",1
"262","set to",1
"263","sided and",1
"264","stamped the",1
"265","stars impressions",1
"266","super easy",1
"267","taylor created",1
"268","that brings",1
"269","the corner",1
"270","the embossing",1
"271","the images",3
"272","the impressions",1
"273","the kraft",1
"274","them out",1
"275","this tutorial",1
"276","through your",1
"277","to do",2
"278","to help",1
"279","to use",1
"280","tutorial taylor",1
"281","tuxedo black",1
"282","up a",1
"283","use the",1
"284","using the",1
"285","which is",1
"286","whipped up",1
"287","with circle",1
"288","with graduation",1
"289","with not",1
"290","with yes",1
"291","yes new",1
"292","you can",4
"293","you i",2
"294","you need",1
"295","you out",1
"296","your die",1
"297","your graduation",1
"298","alternative argument",1
"299","an alternative",1
"300","argument lets",1
"301","have an",2
"302","hear it",1
"303","if you",4
"304","lets hear",1
"305","you have",1
"306","a bear",1
"307","i were",2
"308","if i",1
"309","were a",1
"310","a halfdozen",1
"311","about a",4
"312","again because",1
"313","and as",2
"314","and keeping",1
"315","as not",1
"316","as often",1
"317","away i",1
"318","because of",2
"319","brusquely by",1
"320","by laurelwood",1
"321","can only",1
"322","coming up",1
"323","ever again",1
"324","foot in",1
"325","friends have",1
"326","friends of",1
"327","halfdozen friends",1
"328","have similar",1
